City ID,City,Country,Latitude,Longitude,Max Temperature,Humidity,Percent Clouds,Wind Speed,Description,Date
59,Livramento,BR,-3.0254,-60.1803,83.07,89,0,0.0,light rain,2021-06-13 01:50:29
60,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,81,90,14.97,overcast clouds,2021-06-13 01:50:30
61,Kodiak,US,57.79,-152.4072,56.71,58,90,10.36,overcast clouds,2021-06-13 01:50:30
62,Careiro Da Varzea,BR,-3.2003,-59.8119,83.01,75,86,2.89,light rain,2021-06-13 01:50:30
63,Gravdal,NO,68.1214,13.5031,48.04,85,100,9.17,overcast clouds,2021-06-13 01:50:31
64,Puerto Ayora,EC,-0.7393,-90.3518,73.54,90,67,8.99,broken clouds,2021-06-13 01:50:31
65,Barrow,US,71.2906,-156.7887,35.62,80,90,9.22,overcast clouds,2021-06-13 01:50:31
66,Westport,US,41.1415,-73.3579,64.22,87,1,1.99,clear sky,2021-06-13 01:50:32
67,Georgetown,MY,5.4112,100.3354,85.93,82,20,5.01,few clouds,2021-06-13 01:50:32
68,Faanui,PF,-16.4833,-151.75,79.74,78,29,12.26,light rain,2021-06-13 01:50:32
69,Ribeira Grande,PT,38.5167,-28.7,67.93,84,13,1.74,few clouds,2021-06-13 01:50:33
70,San Patricio,US,28.017,-97.5169,84.88,79,18,7.4,few clouds,2021-06-13 01:50:33
71,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,100,90,11.18,light rain,2021-06-13 01:50:33
72,Isangel,VU,-19.55,169.2667,82.51,69,75,0.0,broken clouds,2021-06-13 01:50:34
73,Fayaoue,NC,-20.65,166.5333,75.65,73,1,8.23,clear sky,2021-06-13 01:50:34
74,Port Elizabeth,ZA,-33.918,25.5701,59.29,100,90,4.61,mist,2021-06-13 01:45:36
75,Saijo,JP,33.9167,133.1833,79.5,86,64,4.63,broken clouds,2021-06-13 01:50:35
76,Samdari,IN,25.8167,72.5833,86.22,61,0,17.27,clear sky,2021-06-13 01:50:35
77,Lompoc,US,34.6391,-120.4579,80.42,82,75,16.11,mist,2021-06-13 01:50:35
78,Novyy Urengoy,RU,66.0833,76.6333,49.1,67,56,0.87,broken clouds,2021-06-13 01:50:36
79,Norman Wells,CA,65.282,-126.8329,51.84,93,90,3.44,light rain,2021-06-13 01:50:36
80,Lusambo,CD,-4.9667,23.45,68.49,57,6,2.48,clear sky,2021-06-13 01:50:36
81,Soyo,AO,-6.1349,12.3689,75.15,92,75,4.16,broken clouds,2021-06-13 01:50:37
82,Songjianghe,CN,42.1859,127.479,80.01,36,56,4.72,broken clouds,2021-06-13 01:50:37
83,Cidreira,BR,-30.1811,-50.2056,54.77,76,0,7.92,clear sky,2021-06-13 01:50:37
84,Berlevag,NO,70.8578,29.0864,46.9,95,100,4.09,overcast clouds,2021-06-13 01:50:38
85,Hilo,US,19.7297,-155.09,80.33,68,90,10.36,overcast clouds,2021-06-13 01:46:57
86,Leo,BF,11.1,-2.1,79.79,59,81,9.75,broken clouds,2021-06-13 01:50:38
87,Tutoia,BR,-2.7619,-42.2744,77.07,85,97,7.36,overcast clouds,2021-06-13 01:50:39
88,Sao Gabriel,BR,-30.3364,-54.32,51.58,88,0,3.18,clear sky,2021-06-13 01:50:39
89,Santa Maria,BR,-29.6842,-53.8069,49.3,100,0,0.0,clear sky,2021-06-13 01:50:39
90,Eureka,US,40.8021,-124.1637,77.74,74,97,4.0,overcast clouds,2021-06-13 01:47:11
91,Kovdor,RU,67.5662,30.4758,58.71,73,100,9.95,overcast clouds,2021-06-13 01:50:40
92,Nouadhibou,MR,20.931,-17.0347,69.78,83,99,6.91,overcast clouds,2021-06-13 01:53:40
93,Mayo,US,38.8876,-76.5119,74.12,84,90,0.0,overcast clouds,2021-06-13 01:53:40
94,Klyuchi,RU,52.2667,79.1667,59.63,48,96,6.31,overcast clouds,2021-06-13 01:53:41
95,Cherskiy,RU,68.75,161.3,60.22,32,52,3.85,broken clouds,2021-06-13 01:53:41
96,Quime,BO,-16.9833,-67.2167,42.98,53,6,2.24,clear sky,2021-06-13 01:53:41
97,Luis Correia,BR,-2.8792,-41.6669,76.78,86,97,6.29,overcast clouds,2021-06-13 01:53:42
98,Waddan,LY,29.1614,16.139,71.17,53,0,7.58,clear sky,2021-06-13 01:53:42
99,Viedma,AR,-40.8135,-62.9967,55.18,67,43,4.52,scattered clouds,2021-06-13 01:50:28
100,Tiarei,PF,-17.5333,-149.3333,84.22,77,5,10.85,light rain,2021-06-13 01:53:43
101,Qarqin,AF,37.4185,66.0436,84.24,18,0,10.92,clear sky,2021-06-13 01:53:43
102,Kajaani,FI,64.2273,27.7285,57.25,100,75,6.91,moderate rain,2021-06-13 01:53:43
103,Port Alfred,ZA,-33.5906,26.891,65.01,68,68,3.56,broken clouds,2021-06-13 01:51:09
104,Mataura,NZ,-46.1927,168.8643,50.77,100,100,2.55,light rain,2021-06-13 01:53:44
105,Svirstroy,RU,60.7999,33.7248,55.6,98,30,4.0,scattered clouds,2021-06-13 01:53:44
106,Longyearbyen,SJ,78.2186,15.6401,35.44,60,20,16.11,few clouds,2021-06-13 01:53:44
107,Hermanus,ZA,-34.4187,19.2345,54.9,67,0,4.25,clear sky,2021-06-13 01:48:55
108,Tammisaari,FI,59.9736,23.4339,58.1,96,100,11.36,overcast clouds,2021-06-13 01:53:45
109,Bluff,NZ,-46.6,168.3333,52.07,98,100,7.2,light rain,2021-06-13 01:53:45
110,Neiafu,TO,-18.65,-173.9833,79.48,65,40,12.66,scattered clouds,2021-06-13 01:53:46
111,Adrar,MR,20.5022,-10.0711,96.6,14,87,10.16,overcast clouds,2021-06-13 01:53:46
